OBJECTID_12,OBJECTID_1,OBJECTID,Beats,District,Beats_0,Area_sq_mi,Perimet_mi,Shape_Leng
1,1,104,23J40,23,23J40,3.03933481,9.25498366,48866.3137417
2,2,105,23J50,23,23J50,2.12389492,7.15363891,37771.2134411
3,3,1,1A10,1,01A10,1.74646692,6.23670909,32929.8239993
4,4,2,1A20,1,01A20,2.44133075,7.95335178,41993.6973885
5,5,3,1A30,1,01A30,2.65916892,8.02635453,42379.1519253
6,6,4,1A40,1,01A40,2.45016686,9.01071178,47576.5582068
7,7,5,1A50,1,01A50,3.04553452,10.69938223,56592.3522802
8,8,6,2A10,2,02A10,3.30928608,9.1661977,48397.5238595
9,9,7,2A20,2,02A20,1.8876461,7.18955626,37960.8570729
10,10,8,2A30,2,02A30,4.65858171,9.62366929,50812.9738417
11,11,9,2A40,2,02A40,1.60546103,5.59670496,29550.6021779
12,12,10,2A50,2,02A50,5.4659844,13.64476441,72324.090557
13,13,11,2A60,2,02A60,4.67447346,10.02619298,52938.2989374
14,14,12,3B10,3,03B10,6.82068773,11.99939205,63356.7900136
15,15,13,3B30,3,03B30,5.310372,10.9302323,57711.6265303
16,16,14,3B40,3,03B40,3.40013561,8.05960642,42554.7218834
17,17,15,3B50,3,03B50,3.85259517,9.34636604,49348.8126759
18,18,16,5F10,5,05F10,3.25978513,8.08900972,42709.9713254
19,19,17,5F30,5,05F30,8.70689439,16.07647309,84883.7778947
20,20,18,6B10,6,06B10,5.50084827,11.45653651,60490.5127523
21,21,19,6B20,6,06B20,6.12869477,13.56628683,71629.9944711
22,22,20,6B30,6,06B30,7.2300685,21.69246278,114536.203496
23,23,21,6B40,6,06B40,5.544689,16.6805728,88073.4243664
24,24,22,22B30,22,22B30,2.8264671,10.59978234,55966.8507752
25,25,23,22B20,22,22B20,4.61158268,24.27173891,128154.781439
26,26,24,7C10,7,07C10,3.47828324,8.86558696,46810.2991685
27,27,25,7C20,7,07C20,7.08575157,11.09794389,58597.1437145
28,28,26,7C30,7,07C30,4.51719841,9.233793,48754.427022
29,29,27,7C40,7,07C40,3.36786526,23.32183927,123139.311348
30,30,28,22B40,22,22B40,13.03325001,65.02838415,343349.868303
31,31,29,8C10,8,08C10,3.69037316,9.10583443,48078.8058039
32,32,30,8C20,8,08C20,3.36154214,9.4437345,49862.9181463
33,33,31,8C30,8,08C30,4.6258259,9.78635287,51671.9431461
